list,Direction,Stop Name,Latitude,Longitude,Name-en-normalized,UID,map link
brts stops,UP,B U Bhandari,18.682747,74.113803,B U Bhandari,,http://maps.google.com/?q=loc:18.682747,74.113803
brts stops,Down,B U Bhandari,18.682747,74.113803,B U Bhandari,,http://maps.google.com/?q=loc:18.682747,74.113803
brts stops,UP,Badhai Sweets,18.502143,73.805422,Badhai Sweets,,http://maps.google.com/?q=loc:18.502143,73.805422
brts stops,Down,Badhai Sweets,18.501918,73.805116,Badhai Sweets,,http://maps.google.com/?q=loc:18.501918,73.805116
brts stops,UP,Bafna Industries,18.647414,74.067821,Bafna Industries,,http://maps.google.com/?q=loc:18.6474140000003,74.067821
brts stops,Down,Bafna Industries,18.647414,74.067821,Bafna Industries,,http://maps.google.com/?q=loc:18.6474140000003,74.067821
brts stops,UP,Bahiratwadi,18.53439,73.830071,Bahiratwadi,,http://maps.google.com/?q=loc:18.53439,73.8300710000002
brts stops,Down,Bahiratwadi,18.535762,73.830075,Bahiratwadi,,http://maps.google.com/?q=loc:18.535762,73.830075
brts stops,UP,Bajaj Auto,18.653676,73.782194,Bajaj Auto,,http://maps.google.com/?q=loc:18.653676,73.782194
brts stops,Down,Bajaj Auto,18.653881,73.782524,Bajaj Auto,,http://maps.google.com/?q=loc:18.653881,73.782524
brts stops,UP,Baker Company,18.567277,73.918477,Baker Company,,http://maps.google.com/?q=loc:18.567277,73.918477
brts stops,Down,Baker Company,18.567276,73.918528,Baker Company,,http://maps.google.com/?q=loc:18.567276,73.918528
brts stops,UP,Bakuri Phata,18.589507,73.99731,Bakuri Phata,,http://maps.google.com/?q=loc:18.589507,73.9973100000003
brts stops,Down,Bakuri Phata,18.589507,73.99731,Bakuri Phata,,http://maps.google.com/?q=loc:18.589507,73.9973100000003
brts stops,UP,Bal Kalyan Sanstha,18.548507,73.823441,Bal Kalyan Sanstha,,http://maps.google.com/?q=loc:18.548507,73.823441
brts stops,Down,Bal Kalyan Sanstha,18.548837,73.82356,Bal Kalyan Sanstha,,http://maps.google.com/?q=loc:18.548837,73.82356
brts stops,UP,Balajinagar,18.464558,73.8579734,Balajinagar,,http://maps.google.com/?q=loc:18.464558,73.8579734
brts stops,Down,Balajinagar,18.464399,73.858168,Balajinagar,,http://maps.google.com/?q=loc:18.464399,73.858168
brts stops,UP,Balbharati,18.522078,73.829233,Balbharati,,http://maps.google.com/?q=loc:18.522078,73.829233
brts stops,Down,Balbharati,18.521385,73.829162,Balbharati,,http://maps.google.com/?q=loc:18.521385,73.829162
brts stops,Down,Balgandharv,18.521846,73.847476,Balgandharv,,http://maps.google.com/?q=loc:18.521846,73.847476
brts stops,UP,Banacha Odha,18.627407,73.865359,Banacha Odha,,http://maps.google.com/?q=loc:18.627407,73.8653589999996
brts stops,Down,Banacha Odha,18.627432,73.865198,Banacha Odha,,http://maps.google.com/?q=loc:18.6274319999997,73.8651979999997
brts stops,UP,Bank Of Maharashtra Hinjawadi,18.593873,73.731465,Bank Of Maharashtra Hinjawadi,,http://maps.google.com/?q=loc:18.593873,73.731465
brts stops,Down,Bank Of Maharashtra Hinjawadi,18.593441,73.73245,Bank Of Maharashtra Hinjawadi,,http://maps.google.com/?q=loc:18.593441,73.73245
brts stops,UP,Bapusaheb Magarvasti,18.518525,73.932589,Bapusaheb Magarvasti,,http://maps.google.com/?q=loc:18.518525,73.932589
brts stops,Down,Bapusaheb Magarvasti,18.518102,73.932806,Bapusaheb Magarvasti,,http://maps.google.com/?q=loc:18.518102,73.932806
brts stops,UP,Benkarvasti,18.443125,73.8158,Benkarvasti,,http://maps.google.com/?q=loc:18.443125,73.8158
brts stops,Down,Benkarvasti,18.443917,73.815741,Benkarvasti,,http://maps.google.com/?q=loc:18.443917,73.815741
brts stops,UP,Bhairavnagar Pimplegurav,18.597031,73.814372,Bhairavnagar Pimplegurav,,http://maps.google.com/?q=loc:18.597031,73.814372
brts stops,Down,Bhairavnagar Pimplegurav,18.597092,73.814368,Bhairavnagar Pimplegurav,,http://maps.google.com/?q=loc:18.597092,73.814368
brts stops,UP,Bhairoba Nala Police Chowky,18.5067,73.89682,Bhairoba Nala Police Chowky,,http://maps.google.com/?q=loc:18.5067,73.89682
brts stops,Down,Bhairoba Nala Police Chowky,18.506935,73.896687,Bhairoba Nala Police Chowky,,http://maps.google.com/?q=loc:18.506935,73.896687
brts stops,UP,Bhairobanagar,18.674984,74.144822,Bhairobanagar,,http://maps.google.com/?q=loc:18.674984,74.144822
brts stops,Down,Bhairobanagar,18.674984,74.144822,Bhairobanagar,,http://maps.google.com/?q=loc:18.674984,74.144822
brts stops,UP,Bhakti Shakti,18.664863,73.77178,Bhakti Shakti,,http://maps.google.com/?q=loc:18.664863,73.77178
brts stops,Down,Bhakti Shakti,18.665423,73.772236,Bhakti Shakti,,http://maps.google.com/?q=loc:18.665423,73.772236
brts stops,UP,Bhandarkar Road,18.519344,73.830311,Bhandarkar Road,,http://maps.google.com/?q=loc:18.5193440000001,73.8303110000003
brts stops,Down,Bhandarkar Road,18.519762,73.830474,Bhandarkar Road,,http://maps.google.com/?q=loc:18.519762,73.830474
brts stops,UP,Bhapkar Petrol Pump,18.4885076,73.8573517,Bhapkar Petrol Pump,,http://maps.google.com/?q=loc:18.4885076,73.8573517
brts stops,Down,Bhapkar Petrol Pump,18.4897477,73.8576551,Bhapkar Petrol Pump,,http://maps.google.com/?q=loc:18.4897477,73.8576551
brts stops,UP,Bharati Vidyapeeth Gate,18.4578924,73.8581048,Bharati Vidyapeeth Gate,,http://maps.google.com/?q=loc:18.4578924,73.8581048
brts stops,Down,Bharati Vidyapeeth Gate,18.457023,73.858506,Bharati Vidyapeeth Gate,,http://maps.google.com/?q=loc:18.457023,73.858506
brts stops,UP,Bharatinagar,18.507892,73.79692,Bharatinagar,,http://maps.google.com/?q=loc:18.507892,73.79692
brts stops,Down,Bharatinagar,18.507685,73.797148,Bharatinagar,,http://maps.google.com/?q=loc:18.507685,73.797148
brts stops,UP,Bhekrainagar,18.483858,73.952578,Bhekrainagar,,http://maps.google.com/?q=loc:18.483858,73.952578
brts stops,Down,Bhekrainagar,18.484256,73.952662,Bhekrainagar,,http://maps.google.com/?q=loc:18.484256,73.952662
brts stops,UP,Bhikardas Maruti,18.508219,73.853669,Bhikardas Maruti,,http://maps.google.com/?q=loc:18.508219,73.853669
brts stops,UP,Bhoirnagar,18.642713,73.783551,Bhoirnagar,,http://maps.google.com/?q=loc:18.642713,73.783551
brts stops,Down,Bhoirnagar,18.642696,73.783671,Bhoirnagar,,http://maps.google.com/?q=loc:18.642696,73.783671
brts stops,UP,Bhondvevasti Ravet,18.653193,73.73757,Bhondvevasti Ravet,,http://maps.google.com/?q=loc:18.6531930000002,73.7375699999996
brts stops,Down,Bhondvevasti Ravet,18.653525,73.737611,Bhondvevasti Ravet,,http://maps.google.com/?q=loc:18.6535249999998,73.7376110000003
brts stops,UP,Bhosari,18.622214,73.851357,Bhosari,,http://maps.google.com/?q=loc:18.622214,73.851357
brts stops,Down,Bhosari,18.623259,73.851417,Bhosari,,http://maps.google.com/?q=loc:18.6232589999996,73.8514169999998
brts stops,UP,Bhosari Police Station,18.618065,73.826967,Bhosari Police Station,,http://maps.google.com/?q=loc:18.618065,73.826967
brts stops,Down,Bhosari Police Station,18.61837,73.82713,Bhosari Police Station,,http://maps.google.com/?q=loc:18.61837,73.82713
brts stops,UP,Bhumkar Chowk,18.605746,73.752593,Bhumkar Chowk,,http://maps.google.com/?q=loc:18.605746,73.752593
brts stops,Down,Bhumkar Chowk,18.60601,73.752639,Bhumkar Chowk,,http://maps.google.com/?q=loc:18.60601,73.752639
brts stops,UP,Bhumkarvasti,18.602852,73.749365,Bhumkarvasti,,http://maps.google.com/?q=loc:18.6028519999999,73.7493650000003
brts stops,Down,Bhumkarvasti,18.602904,73.749301,Bhumkarvasti,,http://maps.google.com/?q=loc:18.6029039999998,73.7493010000003
brts stops,UP,Bidi Kamgar Vasahat Kharadi,18.557211,73.932296,Bidi Kamgar Vasahat Kharadi,,http://maps.google.com/?q=loc:18.557211,73.932296
brts stops,Down,Bidi Kamgar Vasahat Kharadi,18.557324,73.932319,Bidi Kamgar Vasahat Kharadi,,http://maps.google.com/?q=loc:18.557324,73.932319
brts stops,UP,Bidi Kamgar Vasahat Yerawada,18.553243,73.882531,Bidi Kamgar Vasahat Yerawada,,http://maps.google.com/?q=loc:18.553243,73.882531
