,list,Direction,Stop Name,Latitude,Longitude,Name-en-normalized,UID,map link,Unnamed: 8,UID_new
220,brts stops,Down,Dnyanesh Society,18.477929999999997,73.798232,Dnyanesh Society,,http://maps.google.com/?q=loc:18.4779299999999,73.798232,DNYSOC1
221,brts stops,UP,Dnyaneshwar Society,18.481596,73.850008,Dnyaneshwar Society,,http://maps.google.com/?q=loc:18.481596,73.850008,
222,brts stops,Down,Dnyaneshwar Society,18.482611,73.849829,Dnyaneshwar Society,,http://maps.google.com/?q=loc:18.482611,73.849829,
223,brts stops,UP,Doodh Kendra,18.552549,73.878336,Doodh Kendra,,http://maps.google.com/?q=loc:18.552549,73.878336,DOKE1
224,brts stops,Down,Doodh Kendra,18.552549,73.878336,Doodh Kendra,,http://maps.google.com/?q=loc:18.552549,73.878336,DOOKEN1
225,brts stops,UP,Draupada Mangal Karyalay,18.59851,73.742985,Draupada Mangal Karyalay,,http://maps.google.com/?q=loc:18.59851,73.742985,DRMAKA1
226,brts stops,UP,Durvankarnagar,18.625669,73.861796,Durvankarnagar,,http://maps.google.com/?q=loc:18.625669,73.861796,DUR1
227,brts stops,Down,Durvankarnagar,18.625771,73.862036,Durvankarnagar,,http://maps.google.com/?q=loc:18.625771,73.862036,DURV1
228,brts stops,Down,E Square,18.534976,73.83661,E Square,,http://maps.google.com/?q=loc:18.534976,73.83661,ESQ1
229,brts stops,UP,Electronic Sadan,18.623019,73.838574,Electronic Sadan,,http://maps.google.com/?q=loc:18.623019,73.838574,ELSA1
230,brts stops,Down,Electronic Sadan,18.622951,73.838535,Electronic Sadan,,http://maps.google.com/?q=loc:18.6229510000002,73.838535,ELESAD1
231,brts stops,UP,Elpro Company,18.63091,73.783026,Elpro Company,,http://maps.google.com/?q=loc:18.63091,73.783026,ELCO1
232,brts stops,Down,Elpro Company,18.632447,73.78506800000001,Elpro Company,,http://maps.google.com/?q=loc:18.632447,73.78506800000001,ELPCOM1
233,brts stops,UP,Emcure,18.595727,73.712464,EmCure,,http://maps.google.com/?q=loc:18.595727,73.712464,EMC1
234,brts stops,Down,Emcure,18.59603,73.712839,EmCure,,http://maps.google.com/?q=loc:18.59603,73.712839,EMCU1
235,brts stops,UP,Empire Estate,18.634892,73.79815699999999,Empire Estate,,http://maps.google.com/?q=loc:18.634892,73.79815699999999,EMES1
236,brts stops,Down,Empire Estate,18.635373,73.798232,Empire Estate,,http://maps.google.com/?q=loc:18.635373,73.798232,EMPEST1
237,brts stops,UP,Employment Office,18.520088,73.870078,Employment Office,,http://maps.google.com/?q=loc:18.520088,73.870078,EMOF1
238,brts stops,Down,Employment Office,18.519996,73.86993000000001,Employment Office,,http://maps.google.com/?q=loc:18.519996,73.86993000000001,EMPOFF1
239,brts stops,UP,Enfield Company,18.678515,74.10930400000001,Enfield Company,,http://maps.google.com/?q=loc:18.678515,74.10930400000001,ENCO1
240,brts stops,Down,Enfield Company,18.678515,74.10930400000001,Enfield Company,,http://maps.google.com/?q=loc:18.678515,74.10930400000001,ENFCOM1
241,brts stops,UP,Engineering College,18.529403,73.858528,Engineering College,,http://maps.google.com/?q=loc:18.529403,73.858528,ENGCOL1
242,brts stops,Down,Engineering College,18.529569,73.85857,Engineering College,,http://maps.google.com/?q=loc:18.529569,73.85857,
243,brts stops,UP,Factory Road,18.564904000000002,73.85045600000001,Factory Road,,http://maps.google.com/?q=loc:18.5649040000003,73.85045600000001,FARO1
244,brts stops,Down,Factory Road,18.564871,73.850433,Factory Road,,http://maps.google.com/?q=loc:18.5648709999999,73.850433,FACROA1
245,brts stops,UP,Fatimanagar,18.506393,73.90191800000001,Fatimanagar,,http://maps.google.com/?q=loc:18.506393,73.90191800000001,FAT1
246,brts stops,Down,Fatimanagar,18.506704,73.899748,Fatimanagar,,http://maps.google.com/?q=loc:18.506704,73.899748,FATI1
247,brts stops,UP,Fergusson College,18.522937,73.840956,Fergusson College,,http://maps.google.com/?q=loc:18.522937,73.840956,FECO1
248,brts stops,UP,Film Institute,18.512187,73.828964,Film Institute,,http://maps.google.com/?q=loc:18.5121869999999,73.828964,FIIN1
249,brts stops,Down,Film Institute,18.513135000000002,73.828709,Film Institute,,http://maps.google.com/?q=loc:18.513135,73.828709,FILINS1
250,brts stops,UP,Finolex,18.630705,73.802172,Finolex,,http://maps.google.com/?q=loc:18.6307049999997,73.802172,FIN1
251,brts stops,Down,Finolex,18.630482999999998,73.801762,Finolex,,http://maps.google.com/?q=loc:18.6304830000002,73.801762,FINO1
252,brts stops,UP,Fun Time,18.468676000000002,73.819436,Fun Time,,http://maps.google.com/?q=loc:18.468676,73.819436,FUTI1
253,brts stops,Down,Fun Time,18.469005,73.819846,Fun Time,,http://maps.google.com/?q=loc:18.469005,73.819846,FUNTIM1
254,brts stops,UP,Gadevasti,18.597105,74.003084,Gadevasti,,http://maps.google.com/?q=loc:18.597105,74.003084,GAD1
255,brts stops,Down,Gadevasti,18.597105,74.003084,Gadevasti,,http://maps.google.com/?q=loc:18.597105,74.003084,GADE1
256,brts stops,Down,Gadikhana,18.512214,73.8577,Gadikhana,,http://maps.google.com/?q=loc:18.512214,73.8577,GADI1
257,brts stops,UP,Gadital,18.527151999999997,73.86421700000001,Gadital,,http://maps.google.com/?q=loc:18.527152,73.86421700000001,
258,brts stops,Down,Gadital,18.527027,73.864834,Gadital,,http://maps.google.com/?q=loc:18.527027,73.864834,
259,brts stops,UP,Gajanan Maharaj Mandir Alandi Road,18.631922,73.872697,Gajanan Maharaj Mandir Alandi Road,,http://maps.google.com/?q=loc:18.631922,73.872697,GAMAMAALRO1
260,brts stops,Down,Gajanan Maharaj Mandir Alandi Road,18.632102,73.872929,Gajanan Maharaj Mandir Alandi Road,,http://maps.google.com/?q=loc:18.632102,73.872929,GAJMAHMANALAROA1
261,brts stops,UP,Galinde Path,18.484652800000003,73.81049759999999,Galinde Path,,http://maps.google.com/?q=loc:18.4846528,73.81049759999999,GAPA1
262,brts stops,Down,Galinde Path,18.484652800000003,73.81049759999999,Galinde Path,,http://maps.google.com/?q=loc:18.4846528,73.81049759999999,GALPAT1
263,brts stops,UP,Gananjay Society,18.500157,73.804807,Gananjay Society,,http://maps.google.com/?q=loc:18.500157,73.804807,GASO1
264,brts stops,Down,Gananjay Society,18.500167,73.804769,Gananjay Society,,http://maps.google.com/?q=loc:18.500167,73.804769,GANSOC1
265,brts stops,UP,Gandhi Acid Company,18.57388908,73.88830295,Gandhi Acid Company,,http://maps.google.com/?q=loc:18.57388908,73.88830295,GAACCO1
266,brts stops,Down,Gandhi Acid Company,18.573801,73.888143,Gandhi Acid Company,,http://maps.google.com/?q=loc:18.573801,73.888143,GANACICOM1
267,brts stops,UP,Gandhi Bhavan Phata,18.495867,73.813289,Gandhi Bhavan Phata,,http://maps.google.com/?q=loc:18.4958669999999,73.813289,GABHPH1
268,brts stops,Down,Gandhi Bhavan Phata,18.495108,73.813418,Gandhi Bhavan Phata,,http://maps.google.com/?q=loc:18.4951079999997,73.813418,GANBHAPHA1
269,brts stops,UP,Ganesh Mala,18.495082,73.837032,Ganesh Mala,,http://maps.google.com/?q=loc:18.495082,73.837032,GAMA1
270,brts stops,UP,Ganeshmala,18.495082,73.837032,Ganesh Mala,,http://maps.google.com/?q=loc:18.495082,73.837032,GANMAL1
271,brts stops,Down,Ganeshmala,18.495547,73.837802,Ganesh Mala,,http://maps.google.com/?q=loc:18.495547,73.837802,
272,brts stops,UP,Ganesh Mandir Pimple Gaurav,18.599879,73.792971,Ganesh Mandir Pimple Gaurav,,http://maps.google.com/?q=loc:18.5998789999995,73.792971,GAMAPIGA1
273,brts stops,Down,Ganesh Mandir Pimple Gaurav,18.599879,73.792971,Ganesh Mandir Pimple Gaurav,,http://maps.google.com/?q=loc:18.5998789999995,73.792971,GANMANPIMGAU1
274,brts stops,UP,Ganesh Mandir Rahatani,18.599805,73.793019,Ganesh Mandir Rahatani,,http://maps.google.com/?q=loc:18.599805,73.793019,GAMARA1
275,brts stops,Down,Ganesh Mandir Rahatani,18.599879,73.792971,Ganesh Mandir Rahatani,,http://maps.google.com/?q=loc:18.5998789999995,73.792971,GANMANRAH1
276,brts stops,UP,Ganesh Park,18.475343,73.822512,Ganesh Park,,http://maps.google.com/?q=loc:18.475343,73.822512,GANPAR1
277,brts stops,Down,Ganesh Park,18.475765,73.822838,Ganesh Park,,http://maps.google.com/?q=loc:18.475765,73.822838,
278,brts stops,UP,Ganeshnagar,18.450584,73.810979,Ganeshnagar,,http://maps.google.com/?q=loc:18.450584,73.810979,GAN1
