Sr.,Direction,Stop Name,Name-en-normalized,UID
243,DOWN,Avinash Mangal Karyalay,Avinash Mangal Karyalay,
244,UP,Aviraj Lodge,Aviraj Lodge,
245,DOWN,Aviraj Lodge,Aviraj Lodge,
246,UP,Avsarwadi,Avsarwadi,
247,DOWN,Avsarwadi,Avsarwadi,
248,UP,Aynalvasti,Aynalvasti,
249,DOWN,Aynalvasti,Aynalvasti,
250,UP,Azadnagar Corner,Azadnagar Corner,
251,DOWN,Azadnagar Corner,Azadnagar Corner,
252,UP,Azadnagar Kothrud,Azadnagar Kothrud,
253,DOWN,Azadnagar Kothrud,Azadnagar Kothrud,
254,UP,Azadnagar Vanwadi,Azadnagar Vanwadi,
255,DOWN,Azadnagar Vanwadi,Azadnagar Vanwadi,
256,UP,B Sub Depot,B Sub Depot,
257,DOWN,B Sub Depot,B Sub Depot,
258,UP,Badadevasti,Badadevasti,
259,DOWN,Badadevasti,Badadevasti,
260,UP,Badhai Sweets,Badhai Sweets,
261,DOWN,Badhai Sweets,Badhai Sweets,
262,UP,Badhevasti,Badhevasti,
263,DOWN,Badhevasti,Badhevasti,
264,UP,Bagadevasti,Bagadevasti,
265,DOWN,Bagadevasti,Bagadevasti,
266,UP,Bagalvasti,Bagalvasti,
267,DOWN,Bagalvasti,Bagalvasti,
268,UP,Bahiratwadi,Bahiratwadi,
269,DOWN,Bahiratwadi,Bahiratwadi,
270,UP,Bahirwade Kridangan,Bahirwade Kridangan,
271,DOWN,Bahirwade Kridangan,Bahirwade Kridangan,
272,UP,Bahulgaon,Bahulgaon,
273,DOWN,Bahulgaon,Bahulgaon,
274,UP,Bahulgaon Phata,Bahulgaon Phata,
275,DOWN,Bahulgaon Phata,Bahulgaon Phata,
276,UP,Bahuligaon,Bahuligaon,
277,DOWN,Bahuligaon,Bahuligaon,
278,UP,Bajaj Auto,Bajaj Auto,
279,DOWN,Bajaj Auto,Bajaj Auto,
280,UP,Baker Company,Baker Company,
281,DOWN,Baker Company,Baker Company,
282,UP,Bakuri Phata,Bakuri Phata,
283,DOWN,Bakuri Phata,Bakuri Phata,
284,UP,Bakwoulf Colony,Bakwoulf Colony,
